input,target
Cebinde neyin var?,Cebinde ne var?
Oraya saat kaçta vardınız?,Oraya ne zaman vardın?
Bugün ne yapıyorsun?,Bugün ne yapalım?
Islık çalabilir misin?,Islık çalmayı biliyor musun?
Ne zaman varırsın?,Ne zaman geliyorsun?
Çiçekleri ne zamandır seviyorsun?,Çiçeklere ne zamandır önem veriyorsun?
Bu mektup kimden?,Bu kimin mektubu?
Saat ona kadar çalışacak mısın?,10:00'a kadar çalışmaya devam edecek misin?
Bu insanlar ne yapıyorlar?,Adam ne yapıyor?
Alkolsüz içecekleriniz var mı ?,Alkolsüz bir şeyiniz var mı?
Tom'un seninle konuşmak istemediğini göremiyor musun?,"Tom seninle konuşmak istemiyor, anlayamıyor musun?"
Ne zaman geliyorsun?,Hangi gün izinlisin?
Ne zaman yüzmeyi öğrendiniz?,Yüzmeyi ne zaman öğrendin?
Senin doktorun kim?,Sizinle hangi doktor ilgileniyor?
Onun babası doktor mu?,Onun babası bir doktor mu?
Ne zaman eve gideceksin?,"O, tekrar ne zaman eve gelecek?"
Hangi birini alırdın?,Neyi seçerdiniz?
Tom onu tek başına mı yaptı?,Tom onu kendisi mi yaptı?
Ne zaman işten çıkıyorsun?,Ne zaman çalışmayı bırakıyorsun?
"Boston'a gitmek istemiyorsun, değil mi?",Boston'a gitmek ister misin?
Elektriksiz hayat nasıl olurdu?,Elektrik olmadan hayatlarımız nasıl olurdu?
Herhangi biri bu sırrı çözdü mü?,Bu gizemi çözen biri oldu mu?
"O, eve ne zaman dönecek?",Ne zaman döndün?
Ödevini yaptın mı?,"O, ev ödevini henüz bitirdi mi?"
Hangisi senin ceketin?,Hangisi sizin ceketiniz?
Şu tatlı kız kim?,O güzel kız kim?
Bu sonuca nasıl vardın?,Fikri nerede aldın?
Meksika'da konuşulan dil nedir?,Meksika'da hangi dil konuşuluyor?
Tom onu neden yapıyor?,Tom onu nasıl yaptı?
Ne zaman çıkacaksın?,Bu ne zaman varacak?
Niçin gülümsüyorsun?,Neye gülüyorsun?
Tom nasıl tepki verdi?,Tom ne diyor?
Bugün günlerden ne olduğunu biliyor musun?,Bugün elimizde neler var?
Filmi izledin mi?,Hiç daha önce bu filmi gördün mü?
Bebeğiniz için seçilmiş bir adınız var mı?,Bebek için henüz bir isim üzerinde karar verdiniz mi?
Menüye bakabilir miyim?,"Menüyü görebilir miyim, lütfen?"
Tom'a ne dedin?,Tom'a ne zaman söyledin?
Düzenli misin?,Sen düzenli misin?
Tom onu kimin yapması gerektiğini düşünüyor?,Tom onu kiminle yapması gerektiğini düşünüyor?
Uzun zamandır Boston'da mıydın?,Boston'da uzun süre bulundun mu?
Neden umursamaz davranıyorsun?,Neden ilgisiz davranıyorsun?
Aşçı nerede?,Başkan nerede?
Ne çok acildir?,Acele ne?
Tom ne kadar süre önce gitti?,Tom'un gitmesinden bu yana ne kadar zaman oldu?
İyi bir doktor tavsiye edebilir misin?,İyi bir doktor önerebilir misin?
Kim senin doktorun?,Senin doktorun kim?
Tom seni gördü mü?,Tom onu gördü mü?
Ne zaman eve gideceksin?,Saat kaçta geliyorsun?
Çantanızda ne var?,Çantanda ne var?
Ne zaman geri geliyorsun?,Saat kaçta eve gidersin?
Arkadaş oldunuz mu?,Arkadaşlar edindin mi?
Boston'a gittiniz mi?,Boston'a mı gittin?
O fikri nasıl aldın?,Onu nasıl önerdin?
Nerede başlayacağız?,Nerede başlarım?
O kitap kimin?,Bu kimin kitabı?
Ne zaman gelirsin?,Hareket saati nedir?
En yakın mağazayı nerede bulabilirsin?,En yakın dükkan nerede?
Herhangi bir müzik aleti çalabiliyor musun?,"Bir müzik aleti çalarsın, değil mi?"
Ne olmak istiyorsun?,Ne olmak istiyorsunuz?
Bayanların odası nerede?,Bekleme odası nerede?
Şef nerede?,Yönetmen nerede?
Bugün ne yapalım?,Bugün ne yapacaksın?
Tom'un bana karşı hisleri var mı?,Tom'un benim için duyguları var mı?
Başka ne yapabilirim?,Başka hangi seçeneğim vardı?
Nerede tanıştınız?,Nasıl tanıştınız?
Ne zaman döneceksiniz?,Ne zaman ayrılıyorsunuz?
Doktorlar ne söyledi?,Doktor ne söyledi?
Hâlâ uykun yok mu?,Henüz yatakta değil misin?
Ne zaman başlatırız?,Ne zaman varırsın?
Nerede başlarım?,Ne zaman geri geleceksin?
"Hava sıcak gibi , değil mi?","Hava az çok sıcak, değil mi?"
Ölü mü?,Öldü mü?
En yakın akaryakıt istasyonu nerede?,En yakın benzin istasyonu nerede?
Sen de gitmek istemez misin?,Sen de gitmek istemiyor musun?
Latince konuşuyor musunuz?,Latince biliyor musun?
O senin mi?,Sen Tom musun?
Bunu nasıl bilmem gerekiyor?,Bunu nereden bileyim?
O kelime ne demek?,Bu kelimenin anlamı nedir?
Neden çalışmıyorsun?,Niye çalışmıyorsun?
Seçtin mi?,Sipariş vermek için hazır mısınız?
Bunun tuhaf olduğunu düşünmüyor musun?,Bu sana garip gibi gelmiyor mu?
Mahjong oynamayı biliyor musun?,Mahjong nasıl oynanır biliyor musun?
Bugün ne yapmalıyız?,Bugün ne yapıyoruz?
Akrabalık dereceniz nedir?,O senin neyin olur?
Birbirinizle nerede buluştunuz?,Onu nerede tanıdın?
Tom'u tanıyor musunuz?,Tom'u tanıyor musun?
Kaç tane kurşun kalemin var?,Kaç tane dolma kalemin var?
"Kimseye anlatmayacaksın, değil mi?","Herhangi birine söylemeyeceksin, değil mi?"
Ne zaman evde olacaksın?,Kaçta geri geleceksin?
Kaç kez sana demeliyim?,Kaç kez sana söylemeliyim?
"O, tekrar ne zaman eve gelecek?",Ne zaman ayrılacağız?
Ne zaman geri geleceksin?,Ne zaman geri geliyorsun?
Tom'un bana yardım etmesini istersem bir sakıncası var mı?,Tom'un bana yardım etmesini istesem sorun olur mu?
Biraz daha sos alır mıydınız?,Biraz daha sos ister misin?
Ne zaman eve döneceksin?,Biz nerede başlayacağız?
Böylesine büyük miktarda parayı nasıl edindin?,Böyle büyük bir miktarda parayı nasıl kazandın?
Hangi kulübe katılmak istersiniz?,Hangi klube üye olmak istersiniz?
Ara sıra kütüphanede ders çalışıyor musun?,Ara sıra kütüphanede ders çalışır mısın?
Amerika Birleşik Devletleri'ndeki en sevdiğin küçük kasaba nedir?,Amerika'da en sevdiğin küçük kasaba hangisi?
Ne zaman gidelim?,"O, ne zaman geri geliyor?"
Pazar günü çalışmaya ihtiyacın var mı?,Pazar günleri çalışman gerekiyor mu?
Bir şey unuttun mu?,Her şeyin var mı?
"Biraz su alabilir miyim, lütfen?",Su var mı?
Ne zaman geri dönüyorsun?,Saat kaçta yola çıkıyorsun?
Neden cevap vermiyorsunuz?,Neden cevaplamıyorsun?
Neden her zaman okula geç kalıyorsun?,Niçin okula her zaman geç kalıyorsun?
Üniversitede hangi alanda uzmanlaşmayı planlıyorsun?,Üniversitede asıl branş olarak neyi planlıyorsun?
Sorumlu kişi sen misin?,Yetkili kişi siz misiniz?
Beni ne zannediyorsun?,Sana göre ben kimim?
Uykun yok mu?,Uykulu değil misin?
Tom senin için kimdir?,Tom'la ilişkin nedir?
Siz ikiniz nasıl tanıştınız?,Birbirinizle nerede buluştunuz?
O ne zaman varır?,Se ne zaman gidiyorsun?
Henüz akşam yemeğini yedin mi?,Bu sabah kahvaltı ettin mi?
Onların planı nedir?,Onun planı nedir?
Nagashima ailesinden misin?,Nagashimaslara akraba mısın?
Eve ne zaman geri döneceksin?,Eve ne zaman dönüyorsun?
Büyük olasılıkla hangi takım kazanacak?,Muhtemelen hangi takım kazanacaktır?
"O, ne zaman geri geliyor?",Eve ne zaman döneceksin?
Biz nasıl başlarız?,Se ne zaman gidiyorsun?
Saatiniz doğru mu?,Kol saatin zamanı doğru gösteriyor mu?
Bu kamerayla ne yapacaksın?,Bu kamera ile ne yapacaksın?
Bir elma ister misin?,Elma sever misiniz?
Kahve içiyor musunuz?,Bir fincan kahve ister misiniz?
"Noel yakın, değil mi?","Noel yakında, doğru mu?"
Onun ne zaman geri dönmesini umuyorsun?,Hangi saatte geri döneceğini düşünüyor sunuz?
Odamı temizlemem gerekiyor mu?,Odayı temizleyeyim mi?
Sen bir Amerikalı mısın?,Sen bir yankee misin?
Tekrar denemek ister misin?,Tekrar denemek istiyor musun?
"O, nefes alıyor mu?",Hayatta mısın?
Bir takviminiz var mı?,Programın var mı?
İlk ne yapacağız?,Ne zaman gidiyor olacaksın?
Bizimki hangisi?,Hangisi bizimki?
"Affedersiniz, bunlar ne kadar?","Affedersiniz, bunların maliyeti nedir?"
Lütfen bizi yalnız bırakır mısın?,Bizi yalnız bırakabilir misin?
Bir fincan daha çay ister misin?,Bir fincan kahve içmek ister misiniz?
Somon sever misin?,Somon sever misiniz?
Köpeğiniz nerede?,Onun köpeği nerede?
Bunların hepsi ne kadara patlar?,Bütün bunlar kaça mal olur?
Sen postaneye mi gitmek zorundasın?,Postaneye gitmek zorunda mısın?
"Tom senin abin, değil mi?","Tom senin ağabeyin, öyle değil mi?"
İstasyon nerede?,Hangi yol tren istasyonu?
Biraz çaya ne dersin?,Bir kahve ister misin?
En çok hangisini seviyorsun?,En çok kimi seviyorsun?
Onu düşündün mü?,Onu düşündünüz mü?
Tom'la ne yapacağız?,Tom hakkında ne yaparız?
Onunla ilk olarak nasıl tanıştın?,Onu nereden tanıyorsun?
Bu akşam bir film izlemeye gitmek ister misin?,"Merak ediyordum, bu akşam benimle bir filme gitmek ister misin?"
Çay içer misin?,Bir fincan çay içer misin?
Dün yaklaşık olarak bu saatte ne yapıyordun?,Dün bu vakitte ne yapıyordun?
Neden Tom'a söylemek zorundayım?,Tom'a ne diyeceğim?
Yiyecek nasıl?,Yemek nasıldı?
Tom'un Mary'yi öptüğünü sana kim söyledi?,Tom'un Mary'yi öptüğünü kim söyledi?
Gerçekten yatağa gitmek zorunda mıyım?,Gerçekten yatmak zorunda mıyım?
Sizce iyi para kazanıyor muyum?,Nerede o yoğurdun bolluğu?
Neden bunu daha önce söylemedin?,Neden onu bana daha önce söylemedin?
O ne zaman gelir?,Ne zaman çıkacaksın?
Buz ister misiniz?,Biraz dondurma ister misin?
Ne satın almayı umuyorsun?,Satın almayı umduğun nedir?
Ne zaman ulaşırsın?,Ne zaman gidelim?
O garip değil mi?,Garip değil mi?
Sigara içmemin sakıncası var mı?,Sigara içmem sizi rahatsız eder mi?
Bu hafta sonu ne yapacaksın?,Bu hafta sonu için planların nedir?
O ne zaman başlayacak?,Ne zaman geri dönüyorsun?
Neden biraz sebze yemiyorsun?,Neden sebze yemiyorsun?
Benim hemen ayrılmam gerekiyor mu?,Şimdi gitmeli miyim?
O niçin öyle bir şey yaptı?,Onu ona ne yaptırdı?
Bu sende neyi canlandırıyor?,Bu sana neyi hatırlatıyor?
Sütün var mı?,Süt var mı?
Söyleyecek ne var ki başka?,Söyleyecek başka ne var?
Sabah kahvaltını bitirdin mi?,Kahvaltı yapmış mıydın?
Gitarınız hangisi?,Hangi gitar seninki?
Biri bunu bana açıklayabilir mi?,Birisi bana bunu açıklayabilir mi?
Nerede aramaya başlayacağız?,Ne zaman eve gideceksin?
Ne zaman başlar?,Ne zaman gideceğiz?
Buradan istasyona ne kadar uzak?,Burası o istasyona ne kadar uzaklıkta?
Siz arkadaşlar silahlı mısınız?,Siz silahlı mısınız?
Tom eve ne zaman gelecek?,Tom ne zaman eve dönecek?
Allah'ın var olduğuna inanıyor musun?,Bir tanrıya inanıyor musun?
Senin gözde masa oyunun nedir?,En sevdiğin masa oyunu hangisi?
Onu kısar mısın?,"Lütfen, müziğin sesini azaltabilir misiniz?"
Onlarda var mı?,Onlarda var mıydı?
"O, parasını unuttu mu?",Paranızı unuttunuz mu?
Bir örnek verebilir misin?,Bir misal verebilir misin?
Evlilik nasıl gidiyor?,Evlilik hayatı nasıl gidiyor?
Neyle başlayayım?,Eve ne zaman geliyorsun?
Tom ile konuşabilir miyim?,Tom'a söyleyebilir miyim?
Pazar günü açık mı?,Pazarları açık mı?
Birini mi bekliyorsun?,Bir şey bekliyor musun?
Tokyo'ya ne zaman varacağım?,Tokyo'ya ne zaman varacağız?
Onu aramak istiyorum. Sende onun telefon numarası var mı?,Onunla bağlantı kurmak istiyorum. Onun telefon numarasını biliyor musun?
Gördüğümü görüyor musun?,Benim gördüğümü görüyor musun?
İstasyona nasıl gidebilirim?,Otobüs nerede duruyor?
Onun hakkında ne yapacağız?,O konuda ne yapacağız?
Ne kadar istiyorsun?,Ne kadar istersin?
Beyefendi bunun kimin arabası olduğunu biliyor mu?,"Bu kimin arabası, biliyor musun?"
Tom'u ne kadar iyi tanıyorsunuz?,Tom'u iyi tanır mısınız?
Neden onu istiyorsunuz?,Neden bunu istiyorsun?
Sözlüğünüzü bana ödünç verir misiniz?,Ben senin sözlüğünü kullanabilir miyim?
Hangisi ile başlayayım?,Ne zaman çıkacaksın?
Sen içiyor muydun?,Şarap içer misin?
O senin satın almak istediğin şey mi?,Satın almak istediğin şey o mu?
Ne zaman eve gidecek?,Nereden başlamalıyım?
Bilet fiyatı ne kadar?,Giriş ücreti nedir?
Yemek yemeyi bitirdin mi?,Öğle yemeğini henüz yedin mi?
Film ne zaman başlıyor?,Film ne zaman?
Bunun hakkında gerçekten şimdi konuşmak istiyor musun?,Gerçekten şimdi bu konuda konuşmak ister misin?
Onu nerede yaptı?,Onu nerede yaptın?
Ne zaman geri geleceksin?,Ne zaman geri döndün?
Bu pahalı sözlüğü neden aldın?,Neden bu pahalı sözlüğü aldın?
Erkek kardeş misiniz?,Siz erkek kardeş değil misiniz?
Tom nasıl tepki gösterdi?,Tom'dan bir cevap aldınız mı?
Polisler nerede?,Polis karakolu nerede?
Mary nasıl?,"Nasılsın, Mary?"
Tom hangi şarkıyı söylüyordu?,Tom hangi şarkıyı söyledi?
Ne zaman eve gideceksin?,Ne zaman döneceksiniz?
Okul nasıl?,"O, okulda nasıl?"
Bütün yolcular gemide mi?,Yolcuların hepsi içeride mi?
Ne zaman resimlerinden birini bana göndereceksin?,Bana resimlerinden birini ne zaman göndereceksin?
En sevdiğin renk ne?,Hangi renklerden hoşlanırsın?
Ne zaman eve geleceksin?,Eve ne zaman gideceksin?
Bu elmalar kaça?,Bu elma ne kadar?
Ne zaman geri dönmesi bekleniliyor?,Saat kaçta çıkıyoruz?
Buna ne için ihtiyacınız var?,Niçin ona ihtiyacınız var?
Ne zaman gidiyor olacaksın?,Ne zaman ayrılacaksın?
Sen fikre nasıl ulaştın?,Neden bunu düşünmelisiniz?
Neden siz önden gitmiyorsunuz?,Neden devam etmiyorsunuz?
Neden Tom onu yapıyor?,Tom neden bunu yapıyor?
Eve ne zaman gideceksin?,Nereden başlamalıyım?
Beni aldattın mı?,Beni kandırdın mı?
Neden cumartesi gelemedin?,Neden cumartesi günü açmadın?
Saat kaçta kalkarsın?,Ne zaman kalkarsın?
Sen ne aldın?,Ellerindeki nedir?
Nerede başlarım?,Nereden başlamalıyım?
Boston'a ne zaman döneceksin?,Boston'a ne zaman geri dönüyorsun?
Seni ne gülümsetti?,Herkes neye gülüyor?
Ne için böyle bir acele içindesin?,Niçin öyle hızlısın?
"İsviçre'den bahsetmişken, Sen hiç kışın oraya gittin mi?","İsviçre demişken, İsviçre'ye hiç kışın gitmişliğin var mı?"
Tekrar şişmanlarsam benimle ayrılacak mısın?,Eğer şişmanlarsam benimle ilişkiyi bitirecek misin?
Neyle başlayayım?,O ne zaman gelecek?
Tom neden her zaman çok meşgul?,Neden Tom her zaman böyle meşgul?
Nereden bir bilet alabilirim?,İçeri girmek için nereden bir bilet alabilirsin?
Ad ve telefon numaranızı alabilir miyim lütfen?,Bana adını ve telefon numaranı verir misin?
Saat kaçta geliyorsunuz?,Biz ne zaman başlarız?
Burada mısın?,Orada mıdır?
Benim için bir şey aldın mı?,Benim için bir şeyin var mı?
Ona ne söylemeliyim?,Ona ne söylerim?
O ne zaman başlayacak?,Ne zaman başlatırız?
Partide başka kim vardı?,Başka kim partideydi?
Hepiniz birer bardak daha çay ister misiniz?,Bir bardak çay ister misin?
Arkadaşlarınız nerede?,Arkadaşın nerede?
Devam etmek zorunda mıyım?,Devam etmeli miyim?
Tatilini nasıl geçirdin?,Boş zamanını nasıl harcarsın?
Sen bir doktor değil misin?,"Siz doktor musunuz, efendim?"
Elindeki şey ne?,Ellerindeki nedir?
Pazar için planların neler?,Pazar günleri ne yaparsın?
Sadece bir gizemi sevmez misin?,Sadece bir gizemi sevmiyor musun?
Ne zaman ayrılıyorsunuz?,Saat kaçta gidiyoruz?
Şimdi futbol oynuyorum. Ya sen? Ne yapıyorsun?,"Şu anda futbol oynuyorum. Ya sen, ne yapıyorsun?"
Ne zaman ayrılacağız?,Ne zaman başlatırız?
Etkilenmedin mi?,Etkilenmediniz mi?
Bu senin sözlüğün mü?,Bu sözlük senin mi?
"Hangisini tercih edersiniz, İlkbaharı mı yoksa Sonbaharı mı?",İlkbaharı mı yoksa son baharı mı tercih edersin?
Parti hakkında ne düşündün?,Parti nasıldı?
"O, tekrar ne zaman eve gelecek?",Saat kaçta eve gidersin?
Nereden başlarız?,Ne zaman eve gideceksin?
Hata nasıl gözleniyor?,Hata nasıl gözlendi?
Bu kamera kimindir?,Bu kimin kamerasıdır?
"Affedersiniz, bu koltuk hala ücretsiz mi?","Affedersiniz, o koltuk alınmış mı?"
Sana biraz çay alabilir miyim?,Bir fincan çay daha ister misin?
Bir şey unuttun mu?,Bir şey unutmadığından emin misin?
Londra'dan ne zaman döndünüz?,Londra'dan ne zaman geri döndün?
"O, ne kadar karmaşık olabilirdi?",Bu ne kadar karmaşık olabilir?
Orada mısın?,Burada mısın?
Ne zaman geri döndün?,Eve ne zaman dönüyorsun?
"Afedersiniz, bu sandalye dolu mu?","Affedersiniz, bu koltuk boş mu?"
Bu senin mi?,"Sen Tom'sun, değil mi?"
Ne zaman geri döndü?,Saat kaçta ayrılacaksın?
Ne zaman kahvaltı yaparsın?,Genellikle saat kaçta kahvaltı yersin?
Hangisini daha çok beğendin?,Hangisini seviyorsun?
Boy ve ağırlığın nedir?,Lütfen bana boyunu ve ağırlığını söyler misin?
Nereye dönmem gerekiyor?,Nereye gitmeliyim?
Hangisiyle başlayayım?,Ne zaman yola çıkacağız?
O ne ifade ediyordu?,O ne anlama geliyordu?
Kime oy vereceksin?,Kim için oy kullanacaksın?
Yorgun musun?,Çok yorgun musun?
En çok kimi seviyorsun?,Hangisini seviyorsun?
Niye benden istiyorsunuz?,Ve neden soruyorsun?
Bunu durdurur musun?,"Kes şunu artık, ne dersin?"
Bugün sabah ne yaptın?,Bu sabah ne yapıyordun?
Arkadaşlarını özler misin?,Arkadaşlarınızı özlüyor musunuz?
Herkes neye gülüyor?,Seni güldüren nedir?
Tom ne giyiyor?,Tom ne yapıyor?
Bugün için planlarımız nedir?,Bugünün planı nedir?
"O, kimin bisikletidir?",Bu kimin bisikleti?
İşini bitirdin mi?,Bu görevi zaten tamamladın mı?
Beni biraz sonra tekrar arayabilir misin?,Beni daha sonra arar mısınız?
Lakabınız ne?,Lakabın ne?
Kazara geç kalırsa ne yapmalıyız?,"Geç gelirse, ne yapmalıyız?"
Neden aramadın?,Niçin bana telefon etmedin?
Bu gece izinli misin?,Bu akşam boş mu?
Neden sohbete katılmıyorsun?,Nasıl olduda bir şey söylemedin?
Kiminle iletişime geçmeliyim?,Kime bildirmeliyim?
Başka kim bunu yapabilirdi?,Bunu başka kim yapmış olabilir?
İstasyon nerede?,Otobüs terminali nerede?
"Hangisini tercih edersin, Kola mı yoksa Pepsi mi?","Hangisini beğeniyorsun, Coca Cola mı yoksa Pepsi mi?"
Ne hissettiniz?,"O, ne gibi geliyordu?"
Kaç tane kardeşin var?,Onların kaç kız kardeşi var?
Valizi nerede satın aldın?,Okul çantanı nereden aldın?
Önceden sipariş verdin mi?,Oy verdin mi?
Herkes nerede?,Diğer adamlar nerede?
Telefonu kim yanıtladı?,Telefondaki kimdi?
Nerede aramaya başlayacağız?,Ne zaman yolculuğa çıkıyorsun?
Bu gece beni konuk edebilir misiniz?,Bu akşam beni misafir eder misin?
Tom seni yendi mi?,Ken ile kavga ettin mi?
Boston'a çok yağmur yağar mı?,Boston'da çok yağış oluyor mu?
Güzel Kore yemekleri olan bir restoran önerebilir misin?,İyi Kore yemekleri olan herhangi bir restoran biliyor musunuz?
Sen onu yapmasını bilir misin?,Bunu nasıl yapacağını biliyor musun?
O buraya gelir mi?,Buraya geliyor mu?
Nehirde yüzen çocuk kimdir?,Nehirde yüzen delikanlı kimdir?
Nasıl oldu da onu tanıdın?,Siz ikiniz nasıl tanıştınız?
Uçuşunuz saat kaçta?,Uçuşun ne zaman?
Bu baylar Fransızca konuşur mu?,Fransızca konuşur musunuz?
Uzmanlık alanınız nedir?,Uzmanlığınız nedir?
Burada sigara içilebilir mi?,Sigaraya karşı mısın?
Buraya park edersem sorun olur mu?,Arabamı buraya park edebilir miyim?
Saat kaçta çıkıyoruz?,Se ne zaman gidiyorsun?
Yorgun musun?,Uykulu musunuz?
Sır saklamada iyi misin?,Sözünü tutacak mısın?
Beni affedebilir misiniz?,Beni affedebilir misin?
"Affedersiniz, bana çamaşır makinesinin nasıl kullanacağımı gösterir misiniz?","Affedersiniz, çamaşır makinesini nasıl kullanacağımı bana gösterir misiniz?"
İçeri gelmiyor musun?,İçeri gelmek ister misin?
Yabancı uyruklu musun?,Sen bir yabancı mısın?
Yapmak istediğin gerçekten bu mu?,Onu yapmayı gerçekten istiyor musun?
Dünyadan aya olan uzaklık ne kadardır?,Dünya ile Ay arasındaki uzaklık ne kadardır?
Onun hakkında Tom'la konuştun mu?,Bu konuda Tom ile konuştun mu?
Kim olduğumu sanıyorsun?,Beni ne sanıyorsun?
Bana ne kadar borcun var?,Bana ne kadar borçlusun?
Yöneticinle konuşabilir miyim?,Müdürünle konuşabilir miyim?
Arabayı nereye park edebilirim?,Nereye park edebilirim?
Onlar burada mı çalışıyorlar?,Burada mı çalışıyorlar?
Ne düşündüğümü bilmek ister misin?,Ne düşündüğümü mü bilmek istiyorsun?
"Tom, şu anki durum nasıl?","Naber, Tom?"
Sen bir tutuklu musun?,Bir mahkum musun?
Büyüdüğünde ne olmak istersin?,Büyüdüğün zaman ne yapacaksın?
